lat,lon,HU
37.5,287.5,True
37.5,287.75,True
37.5,288.0,True
37.5,288.25,True
37.5,288.5,True
37.5,288.75,True
37.5,289.0,True
37.5,289.25,True
37.5,289.5,True
37.5,289.75,True
37.5,290.0,True
37.5,290.25,True
37.5,290.5,True
37.5,290.75,True
37.5,291.0,True
37.5,291.25,True
37.5,291.5,True
37.5,291.75,True
37.5,292.0,True
37.5,292.25,True
37.5,292.5,True
37.5,292.75,True
37.5,293.0,True
37.5,293.25,True
37.5,293.5,True
37.5,293.75,True
37.5,294.0,True
37.5,294.25,True
37.5,294.5,True
37.5,294.75,True
37.5,295.0,True
37.5,295.25,True
37.5,295.5,True
37.5,295.75,True
37.5,296.0,True
37.5,296.25,True
37.5,296.5,True
37.5,296.75,True
37.5,297.0,True
37.5,297.25,True
37.5,297.5,True
37.5,297.75,True
37.75,279.0,True
37.75,279.25,True
37.75,279.5,True
37.75,279.75,True
37.75,280.0,True
37.75,280.25,True
37.75,280.5,True
37.75,280.75,True
37.75,281.0,True
37.75,281.25,True
37.75,281.5,True
37.75,281.75,True
37.75,282.0,True
37.75,282.25,True
37.75,282.5,True
37.75,282.75,True
37.75,283.0,True
37.75,283.25,True
37.75,283.5,True
37.75,283.75,True
37.75,284.0,True
37.75,284.25,True
37.75,284.5,True
37.75,284.75,True
37.75,285.0,True
37.75,285.25,True
37.75,285.5,True
37.75,285.75,True
37.75,286.0,True
37.75,286.25,True
37.75,286.5,True
37.75,286.75,True
37.75,287.0,True
37.75,287.25,True
37.75,287.5,True
37.75,287.75,True
37.75,288.0,True
37.75,288.25,True
37.75,288.5,True
37.75,288.75,True
37.75,289.0,True
37.75,289.25,True
37.75,289.5,True
37.75,289.75,True
37.75,290.0,True
37.75,290.25,True
37.75,290.5,True
37.75,290.75,True
37.75,291.0,True
37.75,291.25,True
37.75,291.5,True
37.75,291.75,True
37.75,292.0,True
37.75,292.25,True
37.75,292.5,True
37.75,292.75,True
37.75,293.0,True
37.75,293.25,True
37.75,293.5,True
37.75,293.75,True
37.75,294.0,True
37.75,294.25,True
37.75,294.5,True
37.75,294.75,True
37.75,295.0,True
37.75,295.25,True
37.75,295.5,True
37.75,295.75,True
37.75,296.0,True
37.75,296.25,True
37.75,296.5,True
37.75,296.75,True
37.75,297.0,True
37.75,297.25,True
37.75,297.5,True
37.75,297.75,True
37.75,298.0,True
38.0,278.25,True
38.0,278.5,True
38.0,278.75,True
38.0,279.0,True
38.0,279.25,True
38.0,279.5,True
38.0,279.75,True
38.0,280.0,True
38.0,280.25,True
38.0,280.5,True
38.0,280.75,True
38.0,281.0,True
38.0,281.25,True
38.0,281.5,True
38.0,281.75,True
38.0,282.0,True
38.0,282.25,True
38.0,282.5,True
38.0,282.75,True
38.0,283.0,True
38.0,283.25,True
38.0,283.5,True
38.0,283.75,True
38.0,284.0,True
38.0,284.25,True
38.0,284.5,True
38.0,284.75,True
38.0,285.0,True
38.0,285.25,True
38.0,285.5,True
38.0,285.75,True
38.0,286.0,True
38.0,286.25,True
38.0,286.5,True
38.0,286.75,True
38.0,287.0,True
38.0,287.25,True
38.0,287.5,True
38.0,287.75,True
38.0,288.0,True
38.0,288.25,True
38.0,288.5,True
38.0,288.75,True
38.0,289.0,True
38.0,289.25,True
38.0,289.5,True
38.0,289.75,True
38.0,290.0,True
38.0,290.25,True
38.0,290.5,True
38.0,290.75,True
38.0,291.0,True
38.0,291.25,True
38.0,291.5,True
38.0,291.75,True
38.0,292.0,True
38.0,292.25,True
38.0,292.5,True
38.0,292.75,True
38.0,293.0,True
38.0,293.25,True
38.0,293.5,True
38.0,293.75,True
38.0,294.0,True
38.0,294.25,True
38.0,294.5,True
38.0,294.75,True
38.0,295.0,True
38.0,295.25,True
38.0,295.5,True
38.0,295.75,True
38.0,296.0,True
38.0,296.25,True
38.0,296.5,True
38.0,296.75,True
38.0,297.0,True
38.0,297.25,True
38.0,297.5,True
38.0,297.75,True
38.0,298.0,True
38.0,298.25,True
38.25,277.75,True
38.25,278.0,True
38.25,278.25,True
38.25,278.5,True
38.25,278.75,True
38.25,279.0,True
38.25,279.25,True
38.25,279.5,True
38.25,279.75,True
38.25,280.0,True
38.25,280.25,True
38.25,280.5,True
38.25,280.75,True
38.25,281.0,True
38.25,281.25,True
38.25,281.5,True
38.25,281.75,True
38.25,282.0,True
38.25,282.25,True
38.25,282.5,True
38.25,282.75,True
38.25,283.0,True
38.25,283.25,True
38.25,283.5,True
38.25,283.75,True
38.25,284.0,True
38.25,284.25,True
38.25,284.5,True
38.25,284.75,True
38.25,285.0,True
38.25,285.25,True
38.25,285.5,True
38.25,285.75,True
38.25,286.0,True
38.25,286.25,True
38.25,286.5,True
38.25,286.75,True
38.25,287.0,True
38.25,287.25,True
38.25,287.5,True
38.25,287.75,True
38.25,288.0,True
38.25,288.25,True
38.25,288.5,True
38.25,288.75,True
38.25,289.0,True
38.25,289.25,True
38.25,289.5,True
38.25,289.75,True
38.25,290.0,True
38.25,290.25,True
38.25,290.5,True
38.25,290.75,True
38.25,291.0,True
38.25,291.25,True
38.25,291.5,True
38.25,291.75,True
38.25,292.0,True
38.25,292.25,True
38.25,292.5,True
38.25,292.75,True
38.25,293.0,True
38.25,293.25,True
38.25,293.5,True
38.25,293.75,True
38.25,294.0,True
38.25,294.25,True
38.25,294.5,True
38.25,294.75,True
38.25,295.0,True
38.25,295.25,True
38.25,295.5,True
38.25,295.75,True
38.25,296.0,True
38.25,296.25,True
38.25,296.5,True
38.25,296.75,True
38.25,297.0,True
38.25,297.25,True
38.25,297.5,True
38.25,297.75,True
38.25,298.0,True
38.25,298.25,True
38.25,298.5,True
38.5,277.0,True
